first,last,category,amt,gender,state,merchant,hour,day_of_week,is_fraud
John,Wilson,grocery_pos,1539.9271548948004,F,WA,GasStation,1,5,0
John,Wilson,food_out,1803.6786042020392,F,WA,Amazon,14,2,0
John,Thomas,entertainment,110.32481718158627,F,IL,Starbucks,0,2,0
George,Thomas,grocery_pos,1120.6966840734553,F,CA,Apple,17,6,0
Charlie,Anderson,food_out,114.72292509714036,F,NJ,Nike,23,4,0
Charlie,Moore,grocery_pos,409.7389997317776,M,TX,Nike,1,4,0
John,Doe,grocery_pos,1093.1149821544057,M,FL,Amazon,12,5,0
Charlie,Taylor,gas_transport,1928.8159010116983,F,MA,Nike,15,4,0
Bob,Johnson,gas_transport,111.97509582565168,F,AZ,Amazon,9,2,0
Jane,Taylor,shopping_net,112.94031249644607,M,TX,Apple,13,4,0
Bob,Doe,entertainment,1929.437671976926,M,WA,Apple,1,3,0
Edward,Miller,gas_transport,1442.3584777566748,F,MA,Nike,3,1,0
Bob,Moore,food_out,1254.1648465400951,F,IL,GasStation,17,2,0
Edward,Thomas,entertainment,1837.4134761297196,M,IL,Nike,23,1,0
Jane,Smith,grocery_pos,1144.7789040167115,F,NJ,HighEndClub,18,0,0
Diana,Miller,grocery_pos,307.2273835067063,M,IL,Amazon,20,5,0
Jane,Moore,health_fitness,1353.2034902951673,F,FL,Amazon,1,4,0
Edward,Smith,gas_transport,503.39268792671567,M,CA,SuperStore,10,6,0
Bob,Smith,gas_transport,1942.5940234683974,M,AZ,GasStation,7,0,0
Charlie,Miller,food_out,1903.9975627527494,F,MA,Starbucks,3,5,0
Bob,Taylor,entertainment,1629.1603448406222,F,IL,Apple,21,1,0
George,Taylor,gas_transport,153.36930545826354,M,MA,SuperStore,17,0,0
John,Miller,entertainment,1413.4581929547937,F,NV,Starbucks,16,6,0
Edward,Johnson,gas_transport,1978.7498671416267,F,WA,Starbucks,12,2,0
Alice,Johnson,health_fitness,1093.8008774664725,F,FL,SuperStore,8,2,0
Jane,Wilson,health_fitness,1083.1681817624337,M,WA,Nike,2,5,0
Charlie,Taylor,food_out,465.5853637686617,F,CA,Amazon,10,1,1
Jane,Johnson,shopping_net,1684.1571573459387,F,NV,Starbucks,6,5,0
Alice,Thomas,shopping_net,576.1659864616672,F,CA,Starbucks,5,6,0
Jane,Taylor,shopping_net,133.37678310480507,F,FL,Amazon,0,2,0
Fiona,Thomas,entertainment,813.6989713839301,M,NJ,Apple,0,6,0
Bob,Taylor,grocery_pos,1154.8793434379618,F,NJ,Nike,12,3,0
Jane,Johnson,gas_transport,65.40491133983954,F,IL,Walmart,0,1,0
Fiona,Doe,shopping_net,844.3224744150747,M,WA,GasStation,8,2,0
George,Doe,shopping_net,1012.144506941191,M,CA,SuperStore,19,6,0
Jane,Johnson,entertainment,161.20887760931248,F,MA,Amazon,1,3,0
Alice,Wilson,food_out,644.2368459724161,M,IL,GasStation,18,3,0
Alice,Taylor,shopping_net,97.63451529809768,F,MA,Starbucks,5,5,0
John,Doe,gas_transport,113.99346364424451,M,NJ,Starbucks,19,1,0
John,Taylor,food_out,556.4864980183244,M,FL,Walmart,22,3,0
Alice,Taylor,shopping_net,267.0022116905339,M,TX,GasStation,3,2,0
Jane,Brown,shopping_net,277.08636642733074,M,MA,GasStation,8,6,0
Bob,Brown,food_out,1373.63056410945,M,IL,Nike,1,5,0
George,Thomas,gas_transport,1511.0991467958486,F,NY,GasStation,9,6,0
Edward,Smith,food_out,265.7495726238848,M,MA,Amazon,18,4,0
Alice,Miller,food_out,1629.1947113139222,F,NV,Starbucks,23,4,0
John,Doe,food_out,1642.4593196995277,F,TX,HighEndClub,4,1,0
Diana,Thomas,gas_transport,1156.171346067865,F,CA,Walmart,17,4,0
Hannah,Brown,shopping_net,182.58120454505286,M,CA,GasStation,9,1,0
Fiona,Moore,entertainment,402.38843218884534,F,NV,Starbucks,21,2,0
John,Wilson,grocery_pos,1810.4620578352528,F,NY,HighEndClub,16,6,0
Edward,Brown,shopping_net,1530.9248719180166,M,FL,Apple,8,3,0
Hannah,Taylor,grocery_pos,241.1943617896872,F,NJ,Apple,6,1,0
John,Brown,entertainment,1432.7899670660563,M,WA,SuperStore,19,0,0
Jane,Thomas,shopping_net,1697.9893230582009,F,CA,SuperStore,20,4,0
Diana,Miller,health_fitness,1529.1024526144838,M,CA,GasStation,6,4,0
Edward,Johnson,grocery_pos,299.6317963152101,F,WA,GasStation,7,0,0
John,Anderson,gas_transport,186.81715148886036,F,NV,Apple,20,1,0
Jane,Johnson,grocery_pos,903.8730359680479,F,FL,Starbucks,9,5,0
John,Doe,health_fitness,1772.3018039406588,M,NV,Amazon,6,5,0
Fiona,Wilson,food_out,1111.9723155747567,M,NV,Walmart,14,1,0
Fiona,Brown,health_fitness,1520.2676745586607,M,NV,Amazon,17,5,0
Alice,Smith,grocery_pos,907.2610570668007,F,FL,SuperStore,7,1,0
Bob,Doe,entertainment,1529.8869568686716,M,MA,Starbucks,15,2,0
Fiona,Taylor,grocery_pos,255.93023593946418,F,CA,Apple,17,4,0
Jane,Thomas,health_fitness,426.79021410104616,F,CA,GasStation,20,5,0
Edward,Taylor,grocery_pos,193.8110055723832,F,MA,SuperStore,8,2,0
Hannah,Moore,gas_transport,1517.9982355717636,M,AZ,GasStation,6,5,0
Fiona,Taylor,entertainment,475.06952279936394,M,WA,Starbucks,17,1,0
Fiona,Miller,gas_transport,1373.4858469222172,M,NJ,HighEndClub,1,0,0
Jane,Brown,food_out,1750.1460739775914,F,FL,Walmart,10,1,0
Alice,Johnson,health_fitness,630.2651608057395,F,NJ,GasStation,19,5,0
Jane,Smith,health_fitness,965.958460870065,F,WA,Walmart,17,6,0
George,Miller,shopping_net,1177.596425258543,M,IL,HighEndClub,4,4,0
Charlie,Doe,food_out,1991.7148183830918,F,IL,Starbucks,0,3,0
Fiona,Miller,health_fitness,309.3289432279135,M,AZ,Starbucks,20,1,0
Jane,Wilson,food_out,451.56659347437807,F,CA,Apple,11,1,0
Alice,Thomas,shopping_net,1604.7472508778314,M,CA,SuperStore,3,6,0
Hannah,Taylor,food_out,1939.8980083194315,F,NY,GasStation,15,5,0
Diana,Brown,entertainment,150.0064656820742,F,CA,SuperStore,18,6,0
Fiona,Taylor,food_out,1709.2603444959639,M,IL,Nike,11,0,0
George,Moore,food_out,931.1122092599268,M,IL,Starbucks,2,4,0
Hannah,Johnson,entertainment,1934.979796132967,M,NJ,Apple,8,5,0
Alice,Doe,entertainment,1910.1013782954403,M,IL,Apple,3,6,0
John,Thomas,health_fitness,544.3654453772905,F,CA,Starbucks,11,2,0
Edward,Smith,entertainment,1940.5908302633125,F,NY,Apple,19,3,0
Diana,Smith,shopping_net,1160.2037565576052,M,CA,Nike,14,6,0
Bob,Smith,gas_transport,1790.3948054122422,M,WA,Amazon,17,0,0
George,Anderson,gas_transport,790.4070373182931,M,IL,HighEndClub,21,1,0
Alice,Anderson,grocery_pos,1927.0538689844873,M,FL,Amazon,2,2,0
Diana,Johnson,food_out,575.3664426674502,M,NY,GasStation,21,4,0
Hannah,Moore,entertainment,1790.3593688193387,M,NY,Apple,22,2,0
John,Brown,shopping_net,71.91710299772089,M,AZ,Apple,22,6,0
Fiona,Doe,shopping_net,1970.3674175874878,M,MA,Apple,19,1,0
Edward,Smith,food_out,1627.8070871475002,F,NJ,Amazon,8,3,0
Charlie,Anderson,gas_transport,1541.6729322165115,F,NJ,SuperStore,18,2,0
Diana,Thomas,health_fitness,340.0170644259044,M,NJ,GasStation,22,3,0
Diana,Moore,health_fitness,306.9094936790516,M,NJ,Nike,10,1,0
John,Doe,shopping_net,1120.76058611859,M,MA,Starbucks,22,4,0
Edward,Smith,food_out,947.5669083660473,M,NV,GasStation,3,2,0
George,Smith,entertainment,941.8229534913631,F,FL,Starbucks,3,0,0
Alice,Johnson,grocery_pos,1988.8995401293282,M,NJ,Amazon,8,0,0
Hannah,Smith,food_out,1972.615217113485,M,WA,SuperStore,17,1,0
Edward,Moore,grocery_pos,870.4291663477333,M,TX,Nike,11,1,0
Fiona,Taylor,grocery_pos,525.7347985962188,F,MA,SuperStore,3,6,0
Charlie,Wilson,gas_transport,832.4196143091425,F,IL,Walmart,7,1,0
George,Miller,food_out,1067.0354975704208,F,NV,Walmart,6,6,0
Bob,Brown,shopping_net,25.63762858395568,F,CA,Nike,17,3,0
George,Moore,grocery_pos,1782.7043196863922,F,NY,HighEndClub,11,1,0
Charlie,Anderson,gas_transport,509.6815543789065,F,IL,Amazon,21,1,0
Alice,Moore,entertainment,1818.1892716798268,M,NY,Amazon,2,4,0
Diana,Miller,shopping_net,615.2418643033494,F,NY,Walmart,2,6,0
Alice,Thomas,shopping_net,1327.1289426378364,F,IL,GasStation,4,4,0
Edward,Johnson,entertainment,1585.421517266161,M,NY,GasStation,19,3,1
Jane,Miller,entertainment,1992.6307183849804,F,FL,Starbucks,14,6,0
Diana,Moore,gas_transport,665.7986099924063,F,TX,HighEndClub,0,4,0
George,Wilson,grocery_pos,12.274669198486293,F,AZ,SuperStore,7,4,0
Hannah,Brown,gas_transport,1008.7924778786798,F,FL,Apple,15,0,0
Diana,Doe,food_out,839.6697105845573,F,NJ,HighEndClub,12,5,0
Hannah,Brown,shopping_net,460.7539492477901,F,NV,Amazon,22,1,0
Charlie,Moore,health_fitness,1737.8644222988441,M,WA,Walmart,21,2,0
Fiona,Taylor,grocery_pos,689.1487069820746,M,NY,Starbucks,13,3,0
Edward,Anderson,entertainment,32.59652472683051,F,WA,Starbucks,1,5,0
John,Thomas,health_fitness,1123.2682089989162,F,TX,Starbucks,12,6,0
Charlie,Moore,health_fitness,933.4161617066803,M,TX,HighEndClub,0,0,0
Fiona,Smith,entertainment,1712.4181102353607,M,AZ,Nike,16,4,0
Bob,Doe,grocery_pos,1621.04377657867,M,NY,Starbucks,3,5,0
Jane,Thomas,health_fitness,571.4556137363145,F,NV,Apple,9,6,0
Fiona,Taylor,shopping_net,646.3630771854131,M,TX,HighEndClub,15,0,0
Jane,Taylor,health_fitness,751.254832822287,F,NY,Amazon,10,0,0
Diana,Moore,grocery_pos,1575.60977511509,F,MA,Walmart,6,0,0
George,Anderson,grocery_pos,56.11892993627638,M,WA,Walmart,10,0,0
Bob,Moore,grocery_pos,759.3201098668418,F,WA,Walmart,12,2,0
Hannah,Johnson,shopping_net,994.155418533305,M,NY,Apple,3,5,0
Diana,Taylor,gas_transport,391.771194875867,M,NV,Starbucks,14,0,0
Edward,Miller,shopping_net,683.5494608011243,F,NV,Nike,10,5,0
Charlie,Brown,gas_transport,267.9007042922497,F,TX,GasStation,5,6,0
Alice,Doe,entertainment,934.3733916195439,F,FL,GasStation,9,4,0
Jane,Taylor,gas_transport,1641.023728279088,M,TX,Nike,18,0,0
John,Brown,gas_transport,185.9804551658517,F,WA,Apple,1,0,0
Edward,Johnson,entertainment,255.35850059506967,F,AZ,SuperStore,21,1,0
Jane,Doe,gas_transport,1745.5770361732625,F,NJ,Apple,3,4,0
Edward,Brown,gas_transport,1477.058399709419,M,CA,Nike,9,5,0
Charlie,Wilson,gas_transport,753.1155539480709,F,NY,Apple,4,0,0
Jane,Moore,health_fitness,1978.9464695218567,M,NY,Apple,12,5,0
Diana,Doe,grocery_pos,993.2729617624228,F,TX,Starbucks,13,1,0
Hannah,Moore,entertainment,317.45305161796017,M,AZ,Nike,8,4,0
Edward,Miller,food_out,976.7954409731242,F,CA,Apple,20,6,0
Edward,Anderson,health_fitness,118.61207331285112,F,IL,SuperStore,17,5,0
Fiona,Wilson,shopping_net,167.89787381568806,F,TX,SuperStore,12,0,0
Diana,Anderson,health_fitness,1142.3519327843944,M,IL,GasStation,2,5,0
John,Brown,grocery_pos,993.7035049268046,M,NJ,HighEndClub,4,3,0
Hannah,Taylor,gas_transport,428.5376116521896,M,AZ,Walmart,8,6,0
Edward,Johnson,entertainment,747.3896661028504,M,NV,Starbucks,0,4,0
Alice,Miller,health_fitness,49.886605067441884,F,FL,SuperStore,11,5,0
George,Doe,entertainment,419.5201489384334,M,NY,Starbucks,16,1,0
Bob,Miller,grocery_pos,518.7708575533765,F,NJ,HighEndClub,1,6,0
George,Miller,food_out,1758.0754815210748,F,CA,HighEndClub,2,0,0
Hannah,Thomas,shopping_net,810.1107709007758,M,AZ,Amazon,13,4,0
Jane,Taylor,food_out,1896.075305156604,F,NV,Starbucks,1,3,0
Diana,Miller,entertainment,1956.228729965641,M,NJ,HighEndClub,11,6,0
Hannah,Smith,health_fitness,1294.0045164966964,F,CA,Starbucks,15,2,0
Fiona,Smith,entertainment,1432.9378024099033,M,NV,Starbucks,15,6,0
Alice,Anderson,gas_transport,1307.139229091193,F,MA,Apple,2,3,0
Hannah,Wilson,shopping_net,1611.768576143348,F,FL,SuperStore,23,6,0
Fiona,Taylor,health_fitness,565.8033371940481,M,MA,Walmart,9,6,0
Jane,Miller,grocery_pos,241.61532876398581,F,CA,Amazon,2,3,0
Diana,Smith,entertainment,1606.3501543484247,M,NY,Apple,11,2,0
Jane,Miller,shopping_net,1123.2594165617352,F,TX,SuperStore,2,0,0
Edward,Smith,grocery_pos,482.6327792702233,M,AZ,GasStation,22,0,0
Bob,Miller,entertainment,1155.7639564424464,M,FL,Nike,9,1,0
Jane,Thomas,food_out,1638.3475092277604,F,WA,HighEndClub,1,5,0
Diana,Smith,food_out,1058.3155596630752,F,WA,Starbucks,18,3,0
Charlie,Johnson,food_out,1984.7631811222216,M,NJ,HighEndClub,16,3,0
Edward,Anderson,grocery_pos,1945.5135524785323,M,TX,Apple,19,3,0
Hannah,Doe,food_out,372.8233853327918,M,CA,Starbucks,11,0,0
George,Moore,health_fitness,953.7984311019894,F,TX,Starbucks,5,4,0
Jane,Johnson,entertainment,165.79299202529228,F,FL,SuperStore,2,2,0
Bob,Wilson,shopping_net,1774.1748493908417,M,IL,HighEndClub,20,2,0
Charlie,Miller,food_out,950.5234234090103,M,NJ,Nike,2,3,0
Diana,Taylor,food_out,1197.8216136938165,M,NJ,Amazon,21,3,0
Fiona,Wilson,grocery_pos,223.41551054778466,M,NY,HighEndClub,13,6,0
Jane,Moore,gas_transport,11.226417327139934,F,IL,Nike,1,3,0
Alice,Doe,entertainment,242.7935134316192,F,NY,Starbucks,21,3,0
Alice,Taylor,health_fitness,614.6510250465278,M,IL,Starbucks,22,1,1
Edward,Wilson,entertainment,848.5703013576342,M,NY,Nike,13,5,0
Edward,Smith,grocery_pos,1053.0314608073343,F,WA,Apple,7,4,0
George,Miller,health_fitness,869.273018966135,M,MA,Amazon,10,2,0
Alice,Doe,gas_transport,44.36662088701687,M,FL,GasStation,5,0,0
Jane,Brown,health_fitness,658.1998029312664,M,TX,GasStation,4,5,0
Hannah,Wilson,gas_transport,857.9067110478511,F,MA,Nike,1,3,0
Alice,Thomas,entertainment,1005.8707184175393,F,AZ,HighEndClub,22,5,0
Jane,Thomas,health_fitness,1809.5662573015256,M,WA,Amazon,21,4,0
Hannah,Doe,entertainment,11.36926169743534,M,CA,SuperStore,16,4,0
Hannah,Smith,food_out,1413.8534525738378,M,IL,Apple,18,5,0
Hannah,Brown,grocery_pos,1907.7686598000212,M,AZ,SuperStore,6,1,1
Jane,Doe,food_out,1062.1798187179804,M,WA,Starbucks,20,5,0
John,Brown,shopping_net,199.19621448357182,F,TX,Amazon,4,3,0
Hannah,Miller,gas_transport,189.65827953477898,F,AZ,Walmart,20,4,0
Jane,Wilson,health_fitness,1434.3713988739908,M,WA,Starbucks,1,0,0
Fiona,Taylor,entertainment,598.0992071113741,M,NV,Nike,4,3,0
Edward,Johnson,food_out,1434.139760429181,F,NY,HighEndClub,23,3,0
Hannah,Taylor,health_fitness,129.1953907726479,M,AZ,Nike,22,3,0
Diana,Wilson,entertainment,559.7174891417213,F,IL,HighEndClub,13,4,0
Hannah,Doe,grocery_pos,190.20267286584155,F,CA,Starbucks,3,1,0
Diana,Thomas,food_out,182.7393770027701,M,NV,GasStation,12,1,0
Hannah,Johnson,entertainment,255.0786042466501,M,NY,Walmart,4,5,0
George,Miller,entertainment,1535.669981047783,M,TX,SuperStore,10,1,0
Jane,Wilson,health_fitness,1022.8813261815038,M,AZ,SuperStore,19,6,0
Diana,Anderson,health_fitness,874.3647058565047,M,NV,Walmart,3,6,0
Alice,Smith,entertainment,172.4150132732279,M,IL,Apple,15,1,0
Jane,Johnson,gas_transport,390.21769469833816,M,TX,Walmart,0,3,0
John,Moore,health_fitness,1335.59992661942,M,NY,GasStation,19,5,0
Fiona,Thomas,shopping_net,472.2807947447067,M,IL,GasStation,0,1,0
George,Anderson,shopping_net,1336.3924354753224,F,WA,HighEndClub,21,4,0
Bob,Anderson,gas_transport,484.9017334463599,F,FL,Apple,19,5,0
Edward,Thomas,health_fitness,1668.4629755743076,M,NY,Nike,22,4,0
Edward,Taylor,food_out,463.5193451615972,M,NY,Apple,21,1,0
Charlie,Miller,gas_transport,1832.1549163224593,M,FL,GasStation,9,3,0
John,Miller,gas_transport,479.7428281357539,F,WA,HighEndClub,4,4,0
John,Anderson,health_fitness,1637.4810608789921,F,NY,Nike,21,6,0
John,Taylor,food_out,344.24937093655484,F,NJ,GasStation,22,4,0
John,Doe,entertainment,212.5588601776926,F,TX,Walmart,21,2,0
Diana,Smith,shopping_net,1665.3891710897065,F,NY,Amazon,10,4,0
Hannah,Thomas,gas_transport,861.1228866884165,F,NV,Apple,13,5,0
Alice,Doe,entertainment,1391.991278696964,F,NY,Amazon,9,2,0
Fiona,Anderson,gas_transport,1443.2571246794487,M,NJ,HighEndClub,18,5,0
Jane,Wilson,grocery_pos,531.7961742928561,F,MA,Walmart,5,0,0
Alice,Taylor,grocery_pos,357.3197761390636,M,IL,SuperStore,19,1,0
Diana,Smith,health_fitness,1131.3803163890661,M,NY,SuperStore,2,0,0
Diana,Johnson,grocery_pos,589.1904574841469,F,NY,Nike,0,6,0
George,Thomas,grocery_pos,1352.039700160989,M,NY,Nike,0,2,0
Charlie,Anderson,food_out,970.9370886778971,F,NY,Apple,23,0,0
John,Johnson,shopping_net,110.54070859928932,F,AZ,GasStation,22,3,0
Charlie,Moore,food_out,1881.855994836289,M,CA,Starbucks,22,6,0
Jane,Taylor,grocery_pos,1977.5622242080156,M,AZ,Apple,20,1,0
Hannah,Johnson,entertainment,984.2247319117693,F,FL,GasStation,5,5,0
Charlie,Anderson,shopping_net,1109.9051538164185,F,NY,GasStation,12,4,0
Fiona,Brown,health_fitness,943.3919633339616,M,WA,Amazon,21,0,0
Jane,Johnson,health_fitness,1041.3606052173434,F,NY,Apple,18,2,0
George,Smith,shopping_net,685.6136629276727,M,NV,HighEndClub,2,0,0
Alice,Moore,gas_transport,1992.8923167999994,M,TX,Walmart,7,1,0
George,Taylor,shopping_net,1052.6619563959023,F,FL,HighEndClub,22,6,0
Diana,Wilson,entertainment,1302.5939508472948,F,WA,Starbucks,23,1,0
Alice,Smith,shopping_net,1567.30466234609,M,NY,GasStation,4,3,0
Diana,Miller,gas_transport,513.2427054676627,F,MA,Walmart,22,4,0
Edward,Doe,health_fitness,1676.886744788488,F,WA,Nike,14,5,0
Alice,Miller,food_out,579.5578306180066,M,IL,Apple,19,3,0
Fiona,Johnson,grocery_pos,701.6687644809646,F,WA,Walmart,11,4,0
Charlie,Thomas,food_out,88.09320465870994,M,WA,GasStation,1,1,1
Charlie,Taylor,health_fitness,1331.9469089018448,F,MA,Starbucks,5,6,0
Bob,Doe,grocery_pos,1884.784729477614,F,IL,Starbucks,15,6,0
John,Miller,entertainment,267.0423304031551,M,NJ,SuperStore,2,4,0
Jane,Miller,grocery_pos,1118.4812665795155,F,IL,Starbucks,21,3,0
Bob,Moore,grocery_pos,1810.1698663609288,F,IL,HighEndClub,5,0,0
Edward,Moore,entertainment,806.8292376520459,M,NY,Nike,19,3,0
Edward,Anderson,food_out,1732.596771643414,F,IL,Nike,8,6,0
Alice,Johnson,shopping_net,99.68931334429699,F,WA,Starbucks,5,0,0
Alice,Smith,grocery_pos,29.818484109086995,M,NJ,Apple,7,5,0
Hannah,Wilson,health_fitness,1876.5518930830074,M,WA,GasStation,17,4,0
Jane,Thomas,food_out,1064.797316921643,M,FL,Walmart,10,2,0
Bob,Miller,gas_transport,231.27036178759423,F,NJ,GasStation,22,2,0
Hannah,Wilson,gas_transport,1007.4917000319797,F,NY,Apple,10,2,0
Charlie,Miller,entertainment,959.3097233061196,M,TX,Walmart,4,0,0
Hannah,Miller,shopping_net,1748.6952509432488,F,NJ,Amazon,1,2,0
John,Wilson,gas_transport,282.4356925216273,F,CA,Apple,14,5,0
Jane,Brown,grocery_pos,112.50363964823488,M,CA,SuperStore,5,3,0
George,Miller,entertainment,620.2345017677784,M,FL,Amazon,19,0,0
Bob,Thomas,entertainment,511.74266425517726,F,NY,Apple,2,3,0
John,Doe,entertainment,1526.235283958901,M,CA,Amazon,1,5,0
Jane,Smith,food_out,1475.3781233241536,F,CA,HighEndClub,22,1,0
Alice,Anderson,gas_transport,208.6809773280107,F,WA,Starbucks,15,6,0
George,Moore,grocery_pos,1677.3451388542392,F,CA,Walmart,9,0,0
Bob,Wilson,shopping_net,549.5152763492225,M,IL,HighEndClub,19,3,0
Bob,Taylor,food_out,547.5938899742406,F,FL,SuperStore,15,5,0
Fiona,Miller,food_out,1024.9890604621796,F,IL,Walmart,8,4,0
Edward,Smith,entertainment,1805.7901639400643,F,CA,GasStation,20,6,0
Diana,Anderson,food_out,262.4773566704652,M,NV,Walmart,21,1,0
Diana,Doe,gas_transport,1148.1632520025153,F,FL,Walmart,16,4,0
Fiona,Smith,shopping_net,409.34352071672885,M,AZ,Nike,0,0,0
Edward,Taylor,shopping_net,1625.4671466193329,F,CA,Walmart,4,0,0
Charlie,Miller,health_fitness,164.66249462590042,M,IL,Amazon,8,6,0
John,Smith,shopping_net,16.56681856558956,M,CA,HighEndClub,10,6,1
Edward,Brown,shopping_net,501.11804033123315,F,NV,Starbucks,18,6,0
Jane,Anderson,gas_transport,1371.3386205357742,M,NV,Walmart,21,5,0
Fiona,Anderson,grocery_pos,115.72354754307557,M,MA,Walmart,20,4,0
Charlie,Miller,food_out,1667.371972871345,M,WA,GasStation,21,5,0
George,Miller,food_out,709.9098597640908,M,NY,SuperStore,21,0,0
John,Wilson,gas_transport,1646.5665013638595,M,FL,Amazon,8,0,0
Bob,Moore,gas_transport,300.2023740140104,M,NJ,Walmart,22,5,0
George,Anderson,food_out,1033.4785080125891,F,NV,Nike,4,1,1
Edward,Thomas,shopping_net,1556.295501044625,F,NJ,SuperStore,8,3,0
Edward,Anderson,gas_transport,1172.4773445216324,M,AZ,Nike,11,5,0
Bob,Smith,health_fitness,1954.7994490397023,F,IL,SuperStore,8,6,0
Jane,Taylor,health_fitness,219.26439660654202,F,MA,Nike,21,1,1
Bob,Johnson,shopping_net,681.5805732837784,M,NY,Nike,14,0,0
Fiona,Miller,health_fitness,1034.2955149328857,M,FL,SuperStore,1,1,0
Alice,Thomas,gas_transport,1769.5792323279709,M,CA,HighEndClub,5,0,0
Hannah,Smith,health_fitness,270.4691465324426,F,TX,GasStation,13,4,0
George,Taylor,gas_transport,338.51624307656584,F,NJ,Walmart,17,3,0
John,Brown,gas_transport,1121.0119594101059,M,NV,Nike,0,6,0
John,Johnson,shopping_net,1096.536569912903,F,NV,Amazon,19,3,0
John,Johnson,shopping_net,53.67311345024468,F,AZ,Amazon,1,0,0
Hannah,Brown,food_out,1531.1912739558143,F,NJ,Nike,8,1,0
Charlie,Miller,food_out,567.1253761217449,M,FL,GasStation,15,0,0
Edward,Thomas,food_out,1398.530243015613,M,NJ,GasStation,9,1,0
George,Moore,food_out,1396.6015523272767,M,MA,SuperStore,2,0,0
Bob,Smith,food_out,1730.1889697083311,F,NJ,GasStation,6,3,0
Charlie,Moore,gas_transport,1560.461558456362,M,NV,Amazon,0,1,1
Bob,Johnson,grocery_pos,1498.2926612636384,F,IL,Starbucks,17,5,0
Charlie,Thomas,entertainment,1254.522888466894,M,TX,Amazon,19,6,0
Bob,Thomas,grocery_pos,130.15749074491634,F,NY,Starbucks,10,6,0
Fiona,Taylor,gas_transport,159.75721757087905,F,MA,Apple,10,2,0
Diana,Johnson,grocery_pos,872.7188855432428,M,IL,SuperStore,10,5,0
Charlie,Doe,health_fitness,388.5831414418341,M,AZ,Starbucks,17,2,0
Hannah,Anderson,shopping_net,643.6062661229729,M,AZ,Walmart,3,4,0
Fiona,Brown,health_fitness,595.5370357426129,F,TX,Nike,4,1,0
Bob,Johnson,shopping_net,113.48751392321441,F,NY,Amazon,7,5,0
Jane,Johnson,health_fitness,509.9120267761149,F,MA,SuperStore,21,4,0
Hannah,Johnson,health_fitness,1378.7334985818907,M,AZ,Nike,7,4,0
Hannah,Moore,shopping_net,1881.1918201144274,M,AZ,Amazon,4,4,0
Jane,Moore,grocery_pos,541.9310097506814,F,MA,SuperStore,16,4,0
Charlie,Smith,grocery_pos,1652.9820400501599,M,NJ,HighEndClub,6,0,0
Diana,Thomas,shopping_net,1662.1468135358746,M,FL,Walmart,15,3,0
George,Wilson,grocery_pos,1090.9672328357224,F,AZ,GasStation,7,5,0
Alice,Thomas,gas_transport,783.2527622789668,M,NY,Walmart,9,3,0
Hannah,Brown,gas_transport,607.8437950910372,F,NV,Nike,9,3,0
Bob,Wilson,grocery_pos,281.1460914523158,M,NV,Walmart,10,6,0
George,Miller,gas_transport,1094.3346725845051,M,TX,Amazon,7,5,0
Fiona,Anderson,grocery_pos,346.7269193495116,F,IL,GasStation,13,3,0
Diana,Johnson,shopping_net,1170.496174348278,F,TX,Apple,18,6,0
Hannah,Wilson,health_fitness,832.5396302195159,F,CA,GasStation,4,0,0
Alice,Thomas,entertainment,546.535063179715,F,NY,Apple,9,0,0
Diana,Thomas,gas_transport,537.7695061349727,F,NJ,Walmart,21,1,0
Charlie,Smith,grocery_pos,478.462129340112,F,CA,Amazon,23,4,0
Alice,Johnson,grocery_pos,1117.512405333027,M,CA,Apple,18,5,0
Bob,Taylor,entertainment,800.9680161402508,F,MA,Walmart,8,2,0
John,Wilson,health_fitness,1775.0346786715984,F,NY,GasStation,21,2,0
John,Johnson,grocery_pos,1891.6827838305549,F,WA,Walmart,15,3,0
John,Smith,shopping_net,703.5196800344123,M,NY,Walmart,18,2,0
Edward,Thomas,entertainment,1338.9541940818658,F,TX,HighEndClub,18,3,0
Charlie,Wilson,grocery_pos,1365.5954066317265,F,NY,Nike,9,1,1
Hannah,Miller,gas_transport,191.94662235816884,F,AZ,Amazon,20,3,0
Alice,Brown,gas_transport,1654.3377158205928,F,NV,Nike,0,2,0
George,Moore,entertainment,45.49285640068205,F,NJ,SuperStore,10,0,0
Hannah,Wilson,entertainment,1200.472867309357,F,CA,Nike,10,2,1
George,Taylor,health_fitness,1385.7419944535661,F,MA,HighEndClub,3,0,0
Hannah,Miller,grocery_pos,940.2586013552799,F,CA,HighEndClub,3,2,0
Alice,Johnson,entertainment,488.2942140166435,F,MA,Starbucks,2,1,0
Diana,Smith,entertainment,249.76407816900561,M,MA,Nike,12,4,0
Fiona,Doe,health_fitness,1143.793202035847,F,FL,SuperStore,0,2,0
George,Moore,shopping_net,573.9704986676676,F,FL,Nike,22,1,0
Hannah,Taylor,entertainment,1841.9467319015903,M,IL,Starbucks,17,5,0
Edward,Smith,shopping_net,31.125096066560143,F,NY,Apple,18,1,0
Alice,Thomas,entertainment,360.2682135870285,F,MA,HighEndClub,9,4,0
Hannah,Moore,entertainment,1019.2882417991982,F,AZ,Amazon,9,0,0
Alice,Miller,entertainment,1714.8305491208296,M,IL,Nike,3,3,0
Charlie,Taylor,gas_transport,1374.3331697481922,F,NV,HighEndClub,6,3,0
John,Johnson,shopping_net,943.8275308136501,F,CA,Starbucks,17,2,0
